STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,AGE,CATEGORY,,"GENERAL
VOTES","TOTAL
VOTES",TOTAL ELECTORS,,,,,
Tamil Nadu,ARANI,VISHNU PRASAD M K,1,INC,Hand,MALE,46,GENERAL,,613390,617760,1449150,,,,,
Tamil Nadu,ARANI,ELUMALAI V,0,AIADMK,Two Leaves,MALE,63,GENERAL,,385294,386954,1449150,,,,,
Tamil Nadu,ARANI,SENTHAMIZHAN G,0,IND,Gift Pack,MALE,55,GENERAL,,46326,46383,1449150,,,,,
Tamil Nadu,ARANI,TAMIZHARASI A,0,NTK,Ganna Kisan,FEMALE,37,GENERAL,,32151,32409,1449150,,,,,
Tamil Nadu,ARANI,NOTA,0,NOTA,,,,,,16819,16921,1449150,,,,,
Tamil Nadu,ARANI,SHAJI V,0,MNM,Battery Torch,MALE,41,GENERAL,,14680,14776,1449150,,,,,
Bihar,ARARIA,PRADEEP KUMAR SINGH,1,BJP,Lotus,MALE,52,GENERAL,,618004,618434,1805439,,,,,
Bihar,ARARIA,SARFARAZ ALAM,0,RJD,Hurricane Lamp,MALE,50,GENERAL,,481120,481193,1805439,,,,,
Bihar,ARARIA,NOTA,0,NOTA,,,,,,20606,20618,1805439,,,,,
Bihar,ARRAH,R. K. Singh,1,BJP,Lotus,MALE,66,GENERAL,,560106,566480,2089353,,,,,
Bihar,ARRAH,Raju Yadav,0,CPI(ML)(L),Flag with Three Stars,MALE,36,GENERAL,,418266,419195,2089353,,,,,
Bihar,ARRAH,NOTA,0,NOTA,,,,,,21763,21825,2089353,,,,,
Bihar,ARRAH,Shiv das Singh,0,IND,Football,MALE,81,GENERAL,,13768,13773,2089353,,,,,
Bihar,ARRAH,Raj Giri Bhagat,0,SSD,Saw,MALE,70,GENERAL,,12592,12598,2089353,,,,,
Andhra Pradesh,ARUKU,GODDETI. MADHAVI,1,YSRCP,Ceiling Fan,FEMALE,26,ST,,557561,562190,1451418,,,,,
Andhra Pradesh,ARUKU,KISHORE CHANDRA DEO,0,TDP,Bicycle,MALE,72,ST,,336163,338101,1451418,,,,,
Andhra Pradesh,ARUKU,NOTA,0,NOTA,,,,,,47955,47977,1451418,,,,,
Andhra Pradesh,ARUKU,GANGULAIAH VAMPURU.,0,JnP,Glass Tumbler,MALE,49,ST,,42245,42794,1451418,,,,,
Andhra Pradesh,ARUKU,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,0,BJP,Lotus,MALE,54,ST,,17578,17867,1451418,,,,,
Andhra Pradesh,ARUKU,SHRUTI DEVI VYRICHERLA,0,INC,Hand,FEMALE,46,ST,,17656,17730,1451418,,,,,
Andhra Pradesh,ARUKU,KANGALA BALUDORA,0,IND,Cup & Saucer,MALE,61,ST,,13810,13826,1451418,,,,,
Andhra Pradesh,ARUKU,NARAVA SATYAVATHI,0,IND,Bangles,FEMALE,37,ST,,11231,11236,1451418,,,,,
Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,1,BJP,Lotus,MALE,54,ST,,148567,153883,339788,,,,,
Arunachal Pradesh,ARUNACHAL EAST,Lowangcha Wanglat,0,INC,Hand,MALE,69,ST,,80378,83935,339788,,,,,
Arunachal Pradesh,ARUNACHAL EAST,Mongol Yomso,0,PPA,Maize,MALE,47,ST,,22160,22937,339788,,,,,
